STARTING FOR DT 80
WARNING: Your kernel does not support swap limit capabilities or the cgroup is not mounted. Memory limited without swap.
In-memory storage of 3-sequences enabled
Initializing the 2 object cache
Initializing the 3 object cache
06:30:08> ACT CON 3:       0 | ACT CON 5:       0 | FULL SEQ:       0 / 1860480 | MIN DV:      inf | REM: 1057.60 [MIN]
06:37:49> ACT CON 3:    6840 | ACT CON 5:  120103 | FULL SEQ:  486402 / 1860480 | MIN DV:  25733.7 | REM: 21.71 [MIN]
06:37:59> ACT CON 3:    6840 | ACT CON 5:  122212 | FULL SEQ:  496955 / 1860480 | MIN DV:  25733.7 | REM: 21.54 [MIN]
06:38:09> ACT CON 3:    6840 | ACT CON 5:  124330 | FULL SEQ:  507702 / 1860480 | MIN DV:  25733.7 | REM: 21.37 [MIN]
06:38:20> ACT CON 3:    6840 | ACT CON 5:  126417 | FULL SEQ:  518408 / 1860480 | MIN DV:  25733.7 | REM: 21.19 [MIN]
06:38:30> ACT CON 3:    6840 | ACT CON 5:  128483 | FULL SEQ:  528804 / 1860480 | MIN DV:  25733.7 | REM: 21.04 [MIN]
06:38:40> ACT CON 3:    6840 | ACT CON 5:  130488 | FULL SEQ:  539052 / 1860480 | MIN DV:  25733.7 | REM: 20.89 [MIN]
06:38:50> ACT CON 3:    6840 | ACT CON 5:  132421 | FULL SEQ:  549308 / 1860480 | MIN DV:  25043.6 | REM: 20.74 [MIN]
06:39:00> ACT CON 3:    6840 | ACT CON 5:  134257 | FULL SEQ:  559704 / 1860480 | MIN DV:  25043.6 | REM: 20.58 [MIN]
06:39:10> ACT CON 3:    6840 | ACT CON 5:  136156 | FULL SEQ:  570207 / 1860480 | MIN DV:  25043.6 | REM: 20.42 [MIN]
06:39:20> ACT CON 3:    6840 | ACT CON 5:  137976 | FULL SEQ:  580254 / 1860480 | MIN DV:  25043.6 | REM: 20.27 [MIN]
06:39:30> ACT CON 3:    6840 | ACT CON 5:  139873 | FULL SEQ:  590553 / 1860480 | MIN DV:  25043.6 | REM: 20.12 [MIN]
06:39:40> ACT CON 3:    6840 | ACT CON 5:  141653 | FULL SEQ:  600756 / 1860480 | MIN DV:  25043.6 | REM: 19.97 [MIN]
06:39:50> ACT CON 3:    6840 | ACT CON 5:  143525 | FULL SEQ:  611105 / 1860480 | MIN DV:  25043.6 | REM: 19.81 [MIN]
06:40:00> ACT CON 3:    6840 | ACT CON 5:  145365 | FULL SEQ:  621455 / 1860480 | MIN DV:  25043.6 | REM: 19.65 [MIN]
06:40:10> ACT CON 3:    6840 | ACT CON 5:  147245 | FULL SEQ:  631907 / 1860480 | MIN DV:  25043.6 | REM: 19.49 [MIN]
06:40:20> ACT CON 3:    6840 | ACT CON 5:  149082 | FULL SEQ:  642053 / 1860480 | MIN DV:  25043.6 | REM: 19.34 [MIN]
06:40:30> ACT CON 3:    6840 | ACT CON 5:  150842 | FULL SEQ:  652254 / 1860480 | MIN DV:  25043.6 | REM: 19.19 [MIN]
06:40:40> ACT CON 3:    6840 | ACT CON 5:  152767 | FULL SEQ:  662657 / 1860480 | MIN DV:  25043.6 | REM: 19.02 [MIN]
06:40:50> ACT CON 3:    6840 | ACT CON 5:  154546 | FULL SEQ:  672803 / 1860480 | MIN DV:  25043.6 | REM: 18.87 [MIN]
06:41:00> ACT CON 3:    6840 | ACT CON 5:  156324 | FULL SEQ:  683154 / 1860480 | MIN DV:  25043.6 | REM: 18.71 [MIN]
06:41:10> ACT CON 3:    6840 | ACT CON 5:  158199 | FULL SEQ:  693602 / 1860480 | MIN DV:  25043.6 | REM: 18.55 [MIN]
06:41:20> ACT CON 3:    6840 | ACT CON 5:  160171 | FULL SEQ:  704408 / 1860480 | MIN DV:  25043.6 | REM: 18.37 [MIN]
06:41:30> ACT CON 3:    6840 | ACT CON 5:  162178 | FULL SEQ:  715557 / 1860480 | MIN DV:  25043.6 | REM: 18.18 [MIN]
06:41:40> ACT CON 3:    6840 | ACT CON 5:  164189 | FULL SEQ:  726607 / 1860480 | MIN DV:  25043.6 | REM: 17.99 [MIN]
06:41:50> ACT CON 3:    6840 | ACT CON 5:  166063 | FULL SEQ:  737306 / 1860480 | MIN DV:  25043.6 | REM: 17.81 [MIN]
06:42:00> ACT CON 3:    6840 | ACT CON 5:  168062 | FULL SEQ:  748200 / 1860480 | MIN DV:  25043.6 | REM: 17.63 [MIN]
06:42:10> ACT CON 3:    6840 | ACT CON 5:  170029 | FULL SEQ:  759305 / 1860480 | MIN DV:  25043.6 | REM: 17.44 [MIN]
06:42:20> ACT CON 3:    6840 | ACT CON 5:  172080 | FULL SEQ:  770607 / 1860480 | MIN DV:  25043.6 | REM: 17.25 [MIN]
06:42:30> ACT CON 3:    6840 | ACT CON 5:  174178 | FULL SEQ:  782106 / 1860480 | MIN DV:  25043.6 | REM: 17.04 [MIN]
06:42:40> ACT CON 3:    6840 | ACT CON 5:  176239 | FULL SEQ:  793402 / 1860480 | MIN DV:  25043.6 | REM: 16.85 [MIN]
06:42:50> ACT CON 3:    6840 | ACT CON 5:  178377 | FULL SEQ:  805154 / 1860480 | MIN DV:  25043.6 | REM: 16.64 [MIN]
06:43:00> ACT CON 3:    6840 | ACT CON 5:  180541 | FULL SEQ:  817154 / 1860480 | MIN DV:  25043.6 | REM: 16.42 [MIN]
06:43:10> ACT CON 3:    6840 | ACT CON 5:  182737 | FULL SEQ:  828908 / 1860480 | MIN DV:  25043.6 | REM: 16.22 [MIN]
06:43:20> ACT CON 3:    6840 | ACT CON 5:  184855 | FULL SEQ:  840906 / 1860480 | MIN DV:  25043.6 | REM: 16.00 [MIN]
06:43:30> ACT CON 3:    6840 | ACT CON 5:  186992 | FULL SEQ:  852757 / 1860480 | MIN DV:  25043.6 | REM: 15.79 [MIN]
06:43:40> ACT CON 3:    6840 | ACT CON 5:  189087 | FULL SEQ:  864453 / 1860480 | MIN DV:  25043.6 | REM: 15.59 [MIN]
06:43:50> ACT CON 3:    6840 | ACT CON 5:  191139 | FULL SEQ:  876051 / 1860480 | MIN DV:  25043.6 | REM: 15.39 [MIN]
06:44:00> ACT CON 3:    6840 | ACT CON 5:  193212 | FULL SEQ:  887806 / 1860480 | MIN DV:  25043.6 | REM: 15.19 [MIN]
06:44:10> ACT CON 3:    6840 | ACT CON 5:  195344 | FULL SEQ:  899454 / 1860480 | MIN DV:  25043.6 | REM: 14.99 [MIN]
06:44:20> ACT CON 3:    6840 | ACT CON 5:  197522 | FULL SEQ:  911456 / 1860480 | MIN DV:  25043.6 | REM: 14.78 [MIN]
06:44:30> ACT CON 3:    6840 | ACT CON 5:  199674 | FULL SEQ:  923204 / 1860480 | MIN DV:  25043.6 | REM: 14.58 [MIN]
06:44:40> ACT CON 3:    6840 | ACT CON 5:  201775 | FULL SEQ:  935104 / 1860480 | MIN DV:  25043.6 | REM: 14.38 [MIN]
06:44:50> ACT CON 3:    6840 | ACT CON 5:  203931 | FULL SEQ:  947003 / 1860480 | MIN DV:  25043.6 | REM: 14.18 [MIN]
06:45:00> ACT CON 3:    6840 | ACT CON 5:  206012 | FULL SEQ:  958756 / 1860480 | MIN DV:  25043.6 | REM: 13.98 [MIN]
06:45:10> ACT CON 3:    6840 | ACT CON 5:  208061 | FULL SEQ:  970207 / 1860480 | MIN DV:  25043.6 | REM: 13.80 [MIN]
06:45:20> ACT CON 3:    6840 | ACT CON 5:  210264 | FULL SEQ:  982205 / 1860480 | MIN DV:  25043.6 | REM: 13.59 [MIN]
06:45:30> ACT CON 3:    6840 | ACT CON 5:  212440 | FULL SEQ:  994305 / 1860480 | MIN DV:  25043.6 | REM: 13.39 [MIN]
06:45:40> ACT CON 3:    6840 | ACT CON 5:  214494 | FULL SEQ: 1005856 / 1860480 | MIN DV:  25043.6 | REM: 13.20 [MIN]
06:45:50> ACT CON 3:    6840 | ACT CON 5:  216609 | FULL SEQ: 1017407 / 1860480 | MIN DV:  25043.6 | REM: 13.01 [MIN]
06:46:00> ACT CON 3:    6840 | ACT CON 5:  218673 | FULL SEQ: 1029056 / 1860480 | MIN DV:  25043.6 | REM: 12.82 [MIN]
06:46:10> ACT CON 3:    6840 | ACT CON 5:  220785 | FULL SEQ: 1041156 / 1860480 | MIN DV:  25043.6 | REM: 12.62 [MIN]
06:46:20> ACT CON 3:    6840 | ACT CON 5:  222938 | FULL SEQ: 1052804 / 1860480 | MIN DV:  25043.6 | REM: 12.43 [MIN]
06:46:30> ACT CON 3:    6840 | ACT CON 5:  225082 | FULL SEQ: 1064757 / 1860480 | MIN DV:  25043.6 | REM: 12.23 [MIN]
06:46:41> ACT CON 3:    6840 | ACT CON 5:  227171 | FULL SEQ: 1076306 / 1860480 | MIN DV:  25043.6 | REM: 12.05 [MIN]
06:46:51> ACT CON 3:    6840 | ACT CON 5:  229227 | FULL SEQ: 1088155 / 1860480 | MIN DV:  25043.6 | REM: 11.86 [MIN]
06:47:01> ACT CON 3:    6840 | ACT CON 5:  231289 | FULL SEQ: 1099857 / 1860480 | MIN DV:  25043.6 | REM: 11.67 [MIN]
06:47:11> ACT CON 3:    6840 | ACT CON 5:  233406 | FULL SEQ: 1111855 / 1860480 | MIN DV:  25043.6 | REM: 11.47 [MIN]
06:47:21> ACT CON 3:    6840 | ACT CON 5:  235555 | FULL SEQ: 1123851 / 1860480 | MIN DV:  25043.6 | REM: 11.28 [MIN]
06:47:31> ACT CON 3:    6840 | ACT CON 5:  237641 | FULL SEQ: 1135754 / 1860480 | MIN DV:  25043.6 | REM: 11.09 [MIN]
06:47:41> ACT CON 3:    6840 | ACT CON 5:  239706 | FULL SEQ: 1147504 / 1860480 | MIN DV:  25043.6 | REM: 10.90 [MIN]
06:47:51> ACT CON 3:    6840 | ACT CON 5:  241888 | FULL SEQ: 1159501 / 1860480 | MIN DV:  25043.6 | REM: 10.70 [MIN]
06:48:01> ACT CON 3:    6840 | ACT CON 5:  243974 | FULL SEQ: 1171552 / 1860480 | MIN DV:  25043.6 | REM: 10.51 [MIN]
06:48:11> ACT CON 3:    6840 | ACT CON 5:  246110 | FULL SEQ: 1183805 / 1860480 | MIN DV:  25043.6 | REM: 10.31 [MIN]
06:48:21> ACT CON 3:    6840 | ACT CON 5:  248267 | FULL SEQ: 1195854 / 1860480 | MIN DV:  25043.6 | REM: 10.12 [MIN]
06:48:31> ACT CON 3:    6840 | ACT CON 5:  250311 | FULL SEQ: 1207257 / 1860480 | MIN DV:  25043.6 | REM:  9.94 [MIN]
06:48:41> ACT CON 3:    6840 | ACT CON 5:  252347 | FULL SEQ: 1218501 / 1860480 | MIN DV:  25043.6 | REM:  9.77 [MIN]
06:48:51> ACT CON 3:    6840 | ACT CON 5:  254535 | FULL SEQ: 1230259 / 1860480 | MIN DV:  25043.6 | REM:  9.58 [MIN]
06:49:01> ACT CON 3:    6840 | ACT CON 5:  256562 | FULL SEQ: 1241550 / 1860480 | MIN DV:  25043.6 | REM:  9.41 [MIN]
06:49:11> ACT CON 3:    6840 | ACT CON 5:  258560 | FULL SEQ: 1252756 / 1860480 | MIN DV:  25043.6 | REM:  9.24 [MIN]
06:49:21> ACT CON 3:    6840 | ACT CON 5:  260721 | FULL SEQ: 1264603 / 1860480 | MIN DV:  25043.6 | REM:  9.05 [MIN]
06:49:31> ACT CON 3:    6840 | ACT CON 5:  262772 | FULL SEQ: 1276255 / 1860480 | MIN DV:  25043.6 | REM:  8.87 [MIN]
06:49:41> ACT CON 3:    6840 | ACT CON 5:  264856 | FULL SEQ: 1287956 / 1860480 | MIN DV:  25043.6 | REM:  8.69 [MIN]
06:49:51> ACT CON 3:    6840 | ACT CON 5:  266965 | FULL SEQ: 1299605 / 1860480 | MIN DV:  25043.6 | REM:  8.51 [MIN]
06:50:01> ACT CON 3:    6840 | ACT CON 5:  269153 | FULL SEQ: 1311407 / 1860480 | MIN DV:  25043.6 | REM:  8.32 [MIN]
06:50:11> ACT CON 3:    6840 | ACT CON 5:  271277 | FULL SEQ: 1323252 / 1860480 | MIN DV:  25043.6 | REM:  8.14 [MIN]
06:50:21> ACT CON 3:    6840 | ACT CON 5:  273407 | FULL SEQ: 1334957 / 1860480 | MIN DV:  25043.6 | REM:  7.96 [MIN]
06:50:31> ACT CON 3:    6840 | ACT CON 5:  275602 | FULL SEQ: 1346803 / 1860480 | MIN DV:  25043.6 | REM:  7.77 [MIN]
06:50:41> ACT CON 3:    6840 | ACT CON 5:  277718 | FULL SEQ: 1358505 / 1860480 | MIN DV:  25043.6 | REM:  7.59 [MIN]
06:50:51> ACT CON 3:    6840 | ACT CON 5:  279751 | FULL SEQ: 1370055 / 1860480 | MIN DV:  25043.6 | REM:  7.41 [MIN]
06:51:01> ACT CON 3:    6840 | ACT CON 5:  281750 | FULL SEQ: 1381608 / 1860480 | MIN DV:  25043.6 | REM:  7.24 [MIN]
06:51:11> ACT CON 3:    6840 | ACT CON 5:  283748 | FULL SEQ: 1393005 / 1860480 | MIN DV:  25043.6 | REM:  7.06 [MIN]
06:51:21> ACT CON 3:    6840 | ACT CON 5:  285734 | FULL SEQ: 1404499 / 1860480 | MIN DV:  25043.6 | REM:  6.89 [MIN]
06:51:31> ACT CON 3:    6840 | ACT CON 5:  287869 | FULL SEQ: 1416105 / 1860480 | MIN DV:  25043.6 | REM:  6.71 [MIN]
06:51:41> ACT CON 3:    6840 | ACT CON 5:  290017 | FULL SEQ: 1427756 / 1860480 | MIN DV:  25043.6 | REM:  6.53 [MIN]
06:51:51> ACT CON 3:    6840 | ACT CON 5:  292082 | FULL SEQ: 1439254 / 1860480 | MIN DV:  25043.6 | REM:  6.36 [MIN]
06:52:01> ACT CON 3:    6840 | ACT CON 5:  294247 | FULL SEQ: 1451104 / 1860480 | MIN DV:  25043.6 | REM:  6.17 [MIN]
06:52:11> ACT CON 3:    6840 | ACT CON 5:  296311 | FULL SEQ: 1462706 / 1860480 | MIN DV:  25043.6 | REM:  6.00 [MIN]
06:52:21> ACT CON 3:    6840 | ACT CON 5:  298366 | FULL SEQ: 1473901 / 1860480 | MIN DV:  25043.6 | REM:  5.83 [MIN]
06:52:31> ACT CON 3:    6840 | ACT CON 5:  300482 | FULL SEQ: 1485404 / 1860480 | MIN DV:  25043.6 | REM:  5.65 [MIN]
06:52:41> ACT CON 3:    6840 | ACT CON 5:  302634 | FULL SEQ: 1497055 / 1860480 | MIN DV:  25043.6 | REM:  5.47 [MIN]
06:52:51> ACT CON 3:    6840 | ACT CON 5:  304653 | FULL SEQ: 1508357 / 1860480 | MIN DV:  25043.6 | REM:  5.30 [MIN]
06:53:01> ACT CON 3:    6840 | ACT CON 5:  306804 | FULL SEQ: 1520205 / 1860480 | MIN DV:  25043.6 | REM:  5.12 [MIN]
06:53:11> ACT CON 3:    6840 | ACT CON 5:  308895 | FULL SEQ: 1531751 / 1860480 | MIN DV:  25043.6 | REM:  4.95 [MIN]
06:53:21> ACT CON 3:    6840 | ACT CON 5:  310940 | FULL SEQ: 1543357 / 1860480 | MIN DV:  25043.6 | REM:  4.77 [MIN]
06:53:31> ACT CON 3:    6840 | ACT CON 5:  312965 | FULL SEQ: 1554706 / 1860480 | MIN DV:  25043.6 | REM:  4.60 [MIN]
06:53:41> ACT CON 3:    6840 | ACT CON 5:  315172 | FULL SEQ: 1566554 / 1860480 | MIN DV:  25043.6 | REM:  4.42 [MIN]
06:53:51> ACT CON 3:    6840 | ACT CON 5:  317301 | FULL SEQ: 1578154 / 1860480 | MIN DV:  25043.6 | REM:  4.24 [MIN]
06:54:02> ACT CON 3:    6840 | ACT CON 5:  319378 | FULL SEQ: 1589755 / 1860480 | MIN DV:  25043.6 | REM:  4.07 [MIN]
06:54:12> ACT CON 3:    6840 | ACT CON 5:  321442 | FULL SEQ: 1601057 / 1860480 | MIN DV:  25043.6 | REM:  3.90 [MIN]
06:54:22> ACT CON 3:    6840 | ACT CON 5:  323613 | FULL SEQ: 1612854 / 1860480 | MIN DV:  25043.6 | REM:  3.72 [MIN]
06:54:32> ACT CON 3:    6840 | ACT CON 5:  325682 | FULL SEQ: 1624355 / 1860480 | MIN DV:  25043.6 | REM:  3.55 [MIN]
06:54:42> ACT CON 3:    6840 | ACT CON 5:  327817 | FULL SEQ: 1636155 / 1860480 | MIN DV:  25043.6 | REM:  3.37 [MIN]
06:54:52> ACT CON 3:    6840 | ACT CON 5:  329844 | FULL SEQ: 1647706 / 1860480 | MIN DV:  25043.6 | REM:  3.19 [MIN]
06:55:02> ACT CON 3:    6840 | ACT CON 5:  331989 | FULL SEQ: 1659255 / 1860480 | MIN DV:  25043.6 | REM:  3.02 [MIN]
06:55:12> ACT CON 3:    6840 | ACT CON 5:  334041 | FULL SEQ: 1670701 / 1860480 | MIN DV:  25043.6 | REM:  2.85 [MIN]
06:55:22> ACT CON 3:    6840 | ACT CON 5:  336092 | FULL SEQ: 1682154 / 1860480 | MIN DV:  25043.6 | REM:  2.67 [MIN]
06:55:32> ACT CON 3:    6840 | ACT CON 5:  338132 | FULL SEQ: 1693509 / 1860480 | MIN DV:  25043.6 | REM:  2.50 [MIN]
06:55:42> ACT CON 3:    6840 | ACT CON 5:  340182 | FULL SEQ: 1704958 / 1860480 | MIN DV:  25043.6 | REM:  2.33 [MIN]
06:55:52> ACT CON 3:    6840 | ACT CON 5:  342230 | FULL SEQ: 1716256 / 1860480 | MIN DV:  25043.6 | REM:  2.16 [MIN]
06:56:02> ACT CON 3:    6840 | ACT CON 5:  344348 | FULL SEQ: 1727954 / 1860480 | MIN DV:  25043.6 | REM:  1.99 [MIN]
06:56:12> ACT CON 3:    6840 | ACT CON 5:  346303 | FULL SEQ: 1739456 / 1860480 | MIN DV:  25043.6 | REM:  1.81 [MIN]
06:56:22> ACT CON 3:    6840 | ACT CON 5:  348374 | FULL SEQ: 1750549 / 1860480 | MIN DV:  25043.6 | REM:  1.65 [MIN]
06:56:32> ACT CON 3:    6840 | ACT CON 5:  350424 | FULL SEQ: 1762008 / 1860480 | MIN DV:  25043.6 | REM:  1.48 [MIN]
06:56:42> ACT CON 3:    6840 | ACT CON 5:  352495 | FULL SEQ: 1773658 / 1860480 | MIN DV:  25043.6 | REM:  1.30 [MIN]
06:56:52> ACT CON 3:    6840 | ACT CON 5:  354477 | FULL SEQ: 1784803 / 1860480 | MIN DV:  25043.6 | REM:  1.13 [MIN]
06:57:02> ACT CON 3:    6840 | ACT CON 5:  356580 | FULL SEQ: 1796455 / 1860480 | MIN DV:  25043.6 | REM:  0.96 [MIN]
06:57:12> ACT CON 3:    6840 | ACT CON 5:  358522 | FULL SEQ: 1807853 / 1860480 | MIN DV:  25043.6 | REM:  0.79 [MIN]
06:57:22> ACT CON 3:    6840 | ACT CON 5:  360606 | FULL SEQ: 1819207 / 1860480 | MIN DV:  25043.6 | REM:  0.62 [MIN]
06:57:32> ACT CON 3:    6840 | ACT CON 5:  362655 | FULL SEQ: 1830756 / 1860480 | MIN DV:  25043.6 | REM:  0.44 [MIN]
06:57:42> ACT CON 3:    6840 | ACT CON 5:  364664 | FULL SEQ: 1842056 / 1860480 | MIN DV:  25043.6 | REM:  0.28 [MIN]
06:57:52> ACT CON 3:    6840 | ACT CON 5:  366846 | FULL SEQ: 1853657 / 1860480 | MIN DV:  25043.6 | REM:  0.10 [MIN]
Waiting for the jobs to finish
stopEvent set
Threads joined
Update Queue processed
FINISHED all 1860480/1860480 sequences!
MIN DV:  25043.572265625
MIN DV SEQ:  [108, 115, 98, 102, 97]
Actual concatenations (3obj) 6840
Actual concatenations (5obj) 368048
Results saved to: /data/20obj_dt80_results.yml
STARTING FOR DT 40
WARNING: Your kernel does not support swap limit capabilities or the cgroup is not mounted. Memory limited without swap.
In-memory storage of 3-sequences enabled
Initializing the 2 object cache
Initializing the 3 object cache
07:02:07> ACT CON 3:       0 | ACT CON 5:       0 | FULL SEQ:       0 / 1860480 | MIN DV:      inf | REM: 1315.67 [MIN]
07:02:17> ACT CON 3:     965 | ACT CON 5:     437 | FULL SEQ:     484 / 1860480 | MIN DV:  47373.1 | REM: 643.41 [MIN]
07:02:27> ACT CON 3:    1987 | ACT CON 5:     907 | FULL SEQ:    1127 / 1860480 | MIN DV:  37466.4 | REM: 551.21 [MIN]
07:02:37> ACT CON 3:    2949 | ACT CON 5:    1413 | FULL SEQ:    1893 / 1860480 | MIN DV:  37466.4 | REM: 491.74 [MIN]
07:02:47> ACT CON 3:    3865 | ACT CON 5:    1987 | FULL SEQ:    2821 / 1860480 | MIN DV:  37466.4 | REM: 439.59 [MIN]
